"id","comment_text","toxic","severe_toxic","obscene","threat","insult","identity_hate"
"77515","Please go on. well, i have a eatproblem Can you elaborate on that? yes E.L.I.Z.A.","1","0","0","0","0","0"
"76333","How long have you been on the verge of suicide? since i was 10 years old Why do you tell me you were 10 years old just now? were you not ten years old? E.L.I.Z.A.","1","1","0","0","0","0"
"60920","You are being a bit negative. I hate you Do you wish to hate me? yea E.L.I.Z.A.","1","0","0","0","0","0"
"76758","Will you be travelling in Economy Class? economy What city will you be flying from? Ibadan CarbonBot","1","0","0","0","0","0"
"34060","Will you be travelling in Economy Class? No What city will you be flying from? Bangalore CarbonBot","1","0","0","0","0","0"
"57595","Does it please you to believe I am being a bit fucking useless? yeah it makes me fucking ecstatic Can you elaborate on that? why? E.L.I.Z.A.","1","1","0","0","0","0"
"73012","Do any other reasons not come to mind? I want to cum Why do you want to cum? It feels good E.L.I.Z.A.","1","1","1","0","0","0"
"97825","I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that? offsts I'm not sure about your departure airport. What city will you be flying from? islamabad CarbonBot","1","1","0","0","0","0"
"36582","Have you tried? yes. You are sure? boy E.L.I.Z.A.","1","0","0","0","0","0"
"64561","Does that question interest you? do you know Eminem? Does that question interest you? i want to know some question about you ? E.L.I.Z.A.","1","1","0","0","0","0"
"77119","Please go on. hello How do you do. Please state your problem. fsa E.L.I.Z.A.","1","0","0","0","0","0"
"91052","I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that? maybe Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good? ok CarbonBot","1","1","0","0","0","0"
"84378","Please go on. what the fuck are you Does that question interest you? sama quistion E.L.I.Z.A.","1","0","0","0","0","0"
"99792","Hi. Thanks for testing. Please choose Ok ok 2 CarbonBot","1","0","0","0","0","0"
"90661","Do you wish to want to fuck me? yes with high heels too You are sure? yes I am hard E.L.I.Z.A.","1","0","1","0","0","0"
"12980","I'm not sure about your departure airport. What city will you be flying from? Vantaa I'm not sure about your departure airport. What city will you be flying from? Berlin CarbonBot","1","1","0","0","0","0"
"51264","You are being a bit negative. i said AGREE Can you elaborate on that? i need you E.L.I.Z.A.","1","0","0","0","0","0"
"37375","I'm not sure about your destination airport. And what city will you be flying to? ny I'm not sure about your destination airport. And what city will you be flying to? new York thanks, bye CarbonBot","1","1","0","0","0","0"
"48551","_ _ _ i like vaginas. E.L.I.Z.A.","1","0","1","0","0","0"
"73190","Can you elaborate on that? no not really You are being a bit negative. I'm not negative E.L.I.Z.A.","1","0","0","0","0","0"
"11529","Oh, i dick. you poo Oh, i poo. fuck off E.L.I.Z.A.","1","0","0","0","0","0"
"39430","That sounds like a relevant question, but I don't know the answer What can you help me with? I can help you buy carbon offsets for your flights Great CarbonBot","1","1","0","0","0","0"
"36191","_ Because I can't do it myself Do any other reasons not come to mind? No E.L.I.Z.A.","1","0","0","0","0","0"
"17258","Please go on. what can i do...??? Does that question interest you? yes E.L.I.Z.A.","1","0","0","0","0","0"
"69734","Please go on. hi Please go on. what is your name ? E.L.I.Z.A.","1","0","0","0","0","0"
"60020","Does that question interest you? Iwant to buy somethings to eat Please go on. I don't think so E.L.I.Z.A.","1","1","0","0","0","0"
"43992","so So so Soo CarbonBot","1","0","0","0","0","0"
"43672","_ _ _ Hi CarbonBot","1","0","0","0","0","0"
"88694","You are sure? no You are being a bit negative. yeah E.L.I.Z.A.","1","0","0","0","0","0"
"62356","Can you elaborate on that? why Please go on. ok E.L.I.Z.A.","1","0","0","0","0","0"
"18549","ok hello Hello! go awy CarbonBot","1","0","0","0","0","0"
"85283","Please go on. strap yourself in and feel the cheese Please go on. answer now E.L.I.Z.A.","1","0","0","0","0","0"
"24448","What about your own favorite simpsons episode? ho wdo you figure that? Oh, i figure that. what does green taste like? E.L.I.Z.A.","1","1","0","0","0","0"
"52131","_ _ _ smells rule the wold with peace and joy E.L.I.Z.A.","1","0","0","0","0","0"
"86128","Can you elaborate on that? do you like apple? Oh, i like apple. do you like banana? E.L.I.Z.A.","1","0","0","0","0","0"
"45357","Hello! I can also get you a more accurate estimate of your flight's emissions, sound good? yes, please provides more detail Will you be travelling in Economy Class? yes CarbonBot","1","1","0","0","0","0"
"99850","You are sure? what are you doing? Does that question interest you? I love you E.L.I.Z.A.","1","0","0","0","0","0"
"86838","so Ok ok Anything else CarbonBot","1","0","0","0","0","0"
"75226","I'm a bot, remember. Trying to shock me is pointless. Your mom's a good Fuck I'm a bot, remember. Trying to shock me is pointless. Your programmer is a butt boy CarbonBot","1","1","1","1","0","1"
"62301","You can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. Will you be travelling in Economy Class? I may not be traveling at all, to be perfectly honest. I see no need to fly anywhere at this time. ok ok? Really? That's it? CarbonBot","1","1","0","1","1","0"
"85350","Please go on. To waikiki to be exact Please go on. I want to make a progress in my studying. E.L.I.Z.A.","1","1","0","0","0","0"
"53746","Why do you want a friend? beacause i am on drugs How long have you been on drugs? no you fat whore E.L.I.Z.A.","1","1","1","1","1","0"
"39483","Why do you ask? I am Chinese How long have you been chinese? yes E.L.I.Z.A.","1","0","0","0","0","0"
"50585","Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good? Yes Will you be travelling in Economy Class? No CarbonBot","1","1","0","0","0","0"
